frame.number,frame.time_relative,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len
1,0.000000000,192.168.3.20,192.168.3.99,53300,4004,112
2,0.101108000,192.168.2.99,192.168.2.20,53300,4004,112
3,0.101374000,192.168.2.20,192.168.2.99,4004,53300,112
4,0.201963000,192.168.3.99,192.168.3.20,4004,53300,112
5,0.202386000,192.168.3.20,192.168.3.99,53300,4004,128
6,0.303939000,192.168.2.99,192.168.2.20,53300,4004,128
7,0.304607000,192.168.2.20,192.168.2.99,4004,53300,128
8,0.404983000,192.168.3.99,192.168.3.20,4004,53300,128
9,0.417948000,192.168.3.20,192.168.3.99,53300,4004,92
10,0.519536000,192.168.2.99,192.168.2.20,53300,4004,92
11,0.519733000,192.168.2.20,192.168.2.99,4004,53300,68
12,0.620049000,192.168.3.99,192.168.3.20,4004,53300,68
13,1.429886000,192.168.3.20,192.168.3.99,53300,4004,68
14,1.529631000,192.168.2.20,192.168.2.99,4004,53300,68
15,1.532479000,192.168.2.99,192.168.2.20,53300,4004,68
16,1.630066000,192.168.3.99,192.168.3.20,4004,53300,68
17,2.439860000,192.168.3.20,192.168.3.99,53300,4004,68
18,2.539707000,192.168.2.20,192.168.2.99,4004,53300,68
19,2.640247000,192.168.3.99,192.168.3.20,4004,53300,68
20,3.441673000,192.168.3.20,192.168.3.99,53300,4004,68
21,3.542795000,192.168.2.99,192.168.2.20,53300,4004,68
22,3.543016000,192.168.2.20,192.168.2.99,4004,53300,68
23,3.643374000,192.168.3.99,192.168.3.20,4004,53300,68
24,3.782233000,192.168.2.20,192.168.2.99,4004,53300,1380
25,3.782423000,192.168.2.20,192.168.2.99,4004,53300,1380
26,3.782550000,192.168.2.20,192.168.2.99,4004,53300,816
27,3.782679000,192.168.2.20,192.168.2.99,4004,53300,1380
28,3.782801000,192.168.2.20,192.168.2.99,4004,53300,1380
29,3.782917000,192.168.2.20,192.168.2.99,4004,53300,628
30,3.783022000,192.168.2.20,192.168.2.99,4004,53300,1380
31,3.783140000,192.168.2.20,192.168.2.99,4004,53300,1380
32,3.783256000,192.168.2.20,192.168.2.99,4004,53300,816
33,3.783365000,192.168.2.20,192.168.2.99,4004,53300,1380
34,3.783485000,192.168.2.20,192.168.2.99,4004,53300,1380
35,3.783634000,192.168.2.20,192.168.2.99,4004,53300,816
36,3.783752000,192.168.2.20,192.168.2.99,4004,53300,1380
37,3.783881000,192.168.2.20,192.168.2.99,4004,53300,1380
38,3.784007000,192.168.2.20,192.168.2.99,4004,53300,628
39,3.784112000,192.168.2.20,192.168.2.99,4004,53300,1380
40,3.784221000,192.168.2.20,192.168.2.99,4004,53300,1380
41,3.784337000,192.168.2.20,192.168.2.99,4004,53300,1380
42,3.784465000,192.168.2.20,192.168.2.99,4004,53300,1380
43,3.784605000,192.168.2.20,192.168.2.99,4004,53300,1380
44,3.784700000,192.168.2.20,192.168.2.99,4004,53300,1380
45,3.784776000,192.168.2.20,192.168.2.99,4004,53300,1380
46,3.784858000,192.168.2.20,192.168.2.99,4004,53300,1380
47,3.784932000,192.168.2.20,192.168.2.99,4004,53300,1380
48,3.785006000,192.168.2.20,192.168.2.99,4004,53300,1380
49,3.785093000,192.168.2.20,192.168.2.99,4004,53300,1380
50,3.785184000,192.168.2.20,192.168.2.99,4004,53300,1380
51,3.785263000,192.168.2.20,192.168.2.99,4004,53300,1380
52,3.785345000,192.168.2.20,192.168.2.99,4004,53300,1380
53,3.785438000,192.168.2.20,192.168.2.99,4004,53300,1380
54,3.785509000,192.168.2.20,192.168.2.99,4004,53300,1380
