frame.number,frame.time_relative,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len
55,3.785602000,192.168.2.20,192.168.2.99,4004,53300,1380
56,3.785688000,192.168.2.20,192.168.2.99,4004,53300,1380
57,3.785770000,192.168.2.20,192.168.2.99,4004,53300,1380
58,3.785845000,192.168.2.20,192.168.2.99,4004,53300,1380
59,3.785917000,192.168.2.20,192.168.2.99,4004,53300,1380
60,3.786008000,192.168.2.20,192.168.2.99,4004,53300,1380
61,3.786089000,192.168.2.20,192.168.2.99,4004,53300,1380
62,3.786161000,192.168.2.20,192.168.2.99,4004,53300,1380
63,3.786251000,192.168.2.20,192.168.2.99,4004,53300,1380
64,3.786337000,192.168.2.20,192.168.2.99,4004,53300,1380
65,3.786411000,192.168.2.20,192.168.2.99,4004,53300,1380
66,3.786498000,192.168.2.20,192.168.2.99,4004,53300,1380
67,3.786603000,192.168.2.20,192.168.2.99,4004,53300,1380
68,3.786688000,192.168.2.20,192.168.2.99,4004,53300,628
69,3.808083000,192.168.2.20,192.168.2.99,4004,53300,1380
70,3.808241000,192.168.2.20,192.168.2.99,4004,53300,1380
71,3.808327000,192.168.2.20,192.168.2.99,4004,53300,1380
72,3.808391000,192.168.2.20,192.168.2.99,4004,53300,1380
73,3.808448000,192.168.2.20,192.168.2.99,4004,53300,1380
74,3.808505000,192.168.2.20,192.168.2.99,4004,53300,1380
75,3.808568000,192.168.2.20,192.168.2.99,4004,53300,1380
76,3.808660000,192.168.2.20,192.168.2.99,4004,53300,1380
77,3.808718000,192.168.2.20,192.168.2.99,4004,53300,1380
78,3.808775000,192.168.2.20,192.168.2.99,4004,53300,1380
79,3.808835000,192.168.2.20,192.168.2.99,4004,53300,1380
80,3.808899000,192.168.2.20,192.168.2.99,4004,53300,1380
81,3.808978000,192.168.2.20,192.168.2.99,4004,53300,1380
82,3.809047000,192.168.2.20,192.168.2.99,4004,53300,1380
83,3.809122000,192.168.2.20,192.168.2.99,4004,53300,1380
84,3.809187000,192.168.2.20,192.168.2.99,4004,53300,1380
85,3.809252000,192.168.2.20,192.168.2.99,4004,53300,1380
86,3.809331000,192.168.2.20,192.168.2.99,4004,53300,1380
87,3.809409000,192.168.2.20,192.168.2.99,4004,53300,1380
88,3.809481000,192.168.2.20,192.168.2.99,4004,53300,1380
89,3.809563000,192.168.2.20,192.168.2.99,4004,53300,816
90,3.851245000,192.168.2.20,192.168.2.99,4004,53300,1380
91,3.851430000,192.168.2.20,192.168.2.99,4004,53300,1380
92,3.851521000,192.168.2.20,192.168.2.99,4004,53300,252
93,3.851602000,192.168.2.20,192.168.2.99,4004,53300,1380
94,3.851696000,192.168.2.20,192.168.2.99,4004,53300,1380
95,3.851789000,192.168.2.20,192.168.2.99,4004,53300,1380
96,3.851874000,192.168.2.20,192.168.2.99,4004,53300,1380
97,3.851965000,192.168.2.20,192.168.2.99,4004,53300,1380
98,3.852055000,192.168.2.20,192.168.2.99,4004,53300,1380
99,3.852137000,192.168.2.20,192.168.2.99,4004,53300,1380
100,3.852219000,192.168.2.20,192.168.2.99,4004,53300,1380
101,3.852316000,192.168.2.20,192.168.2.99,4004,53300,1380
102,3.852403000,192.168.2.20,192.168.2.99,4004,53300,1380
103,3.883041000,192.168.3.99,192.168.3.20,4004,53300,1380
104,3.885245000,192.168.3.99,192.168.3.20,4004,53300,1380
105,3.886971000,192.168.3.99,192.168.3.20,4004,53300,1380
106,3.887211000,192.168.3.20,192.168.3.99,53300,4004,68
107,3.887834000,192.168.3.99,192.168.3.20,4004,53300,1380
108,3.888113000,192.168.2.20,192.168.2.99,4004,53300,1380
109,3.888121000,192.168.3.99,192.168.3.20,4004,53300,628
110,3.888212000,192.168.2.20,192.168.2.99,4004,53300,1380
111,3.888318000,192.168.2.20,192.168.2.99,4004,53300,1380
112,3.888414000,192.168.2.20,192.168.2.99,4004,53300,1380
113,3.888504000,192.168.2.20,192.168.2.99,4004,53300,1380
114,3.888620000,192.168.2.20,192.168.2.99,4004,53300,1380
115,3.888723000,192.168.2.20,192.168.2.99,4004,53300,1380
116,3.888818000,192.168.2.20,192.168.2.99,4004,53300,1380
117,3.888903000,192.168.2.20,192.168.2.99,4004,53300,1380
118,3.888992000,192.168.2.20,192.168.2.99,4004,53300,1380
119,3.889103000,192.168.2.20,192.168.2.99,4004,53300,1380
120,3.889189000,192.168.2.20,192.168.2.99,4004,53300,1380
121,3.889273000,192.168.2.20,192.168.2.99,4004,53300,1380
122,3.889364000,192.168.2.20,192.168.2.99,4004,53300,1380
123,3.889368000,192.168.3.99,192.168.3.20,4004,53300,1380
124,3.889450000,192.168.2.20,192.168.2.99,4004,53300,1380
125,3.889549000,192.168.2.20,192.168.2.99,4004,53300,1380
126,3.889665000,192.168.2.20,192.168.2.99,4004,53300,1380
127,3.889750000,192.168.2.20,192.168.2.99,4004,53300,1380
128,3.889840000,192.168.2.20,192.168.2.99,4004,53300,1380
129,3.889940000,192.168.2.20,192.168.2.99,4004,53300,1380
130,3.890028000,192.168.2.20,192.168.2.99,4004,53300,252
131,3.890632000,192.168.3.99,192.168.3.20,4004,53300,816
132,3.890773000,192.168.3.99,192.168.3.20,4004,53300,1380
133,3.890830000,192.168.3.20,192.168.3.99,53300,4004,68
134,3.890947000,192.168.3.20,192.168.3.99,53300,4004,92
135,3.891711000,192.168.3.99,192.168.3.20,4004,53300,1380
136,3.891877000,192.168.3.99,192.168.3.20,4004,53300,816
137,3.893463000,192.168.3.99,192.168.3.20,4004,53300,1380
138,3.893714000,192.168.3.99,192.168.3.20,4004,53300,628
139,3.893743000,192.168.3.20,192.168.3.99,53300,4004,68
140,3.895080000,192.168.3.99,192.168.3.20,4004,53300,1380
141,3.895271000,192.168.3.99,192.168.3.20,4004,53300,1380
142,3.895820000,192.168.3.99,192.168.3.20,4004,53300,1380
143,3.896777000,192.168.3.99,192.168.3.20,4004,53300,1380
144,3.896974000,192.168.3.99,192.168.3.20,4004,53300,1380
145,3.897431000,192.168.3.99,192.168.3.20,4004,53300,1380
146,3.898264000,192.168.3.99,192.168.3.20,4004,53300,1380
147,3.898461000,192.168.3.99,192.168.3.20,4004,53300,1380
148,3.899510000,192.168.3.99,192.168.3.20,4004,53300,1380
149,3.899727000,192.168.3.99,192.168.3.20,4004,53300,1380
150,3.900698000,192.168.3.99,192.168.3.20,4004,53300,1380
151,3.900933000,192.168.3.99,192.168.3.20,4004,53300,1380
152,3.902245000,192.168.3.99,192.168.3.20,4004,53300,1380
153,3.902452000,192.168.3.20,192.168.3.99,53300,4004,68
154,3.903030000,192.168.3.99,192.168.3.20,4004,53300,1380
155,3.903147000,192.168.3.99,192.168.3.20,4004,53300,1380
156,3.904596000,192.168.3.99,192.168.3.20,4004,53300,1380
157,3.904781000,192.168.3.99,192.168.3.20,4004,53300,1380
158,3.904885000,192.168.3.99,192.168.3.20,4004,53300,1380
159,3.905703000,192.168.3.99,192.168.3.20,4004,53300,1380
160,3.906066000,192.168.3.99,192.168.3.20,4004,53300,1380
161,3.906633000,192.168.3.99,192.168.3.20,4004,53300,1380
162,3.907297000,192.168.3.99,192.168.3.20,4004,53300,1380
163,3.907817000,192.168.3.99,192.168.3.20,4004,53300,1380
164,3.908486000,192.168.3.99,192.168.3.20,4004,53300,1380
165,3.909298000,192.168.3.99,192.168.3.20,4004,53300,1380
166,3.910069000,192.168.3.99,192.168.3.20,4004,53300,1380
167,3.910996000,192.168.3.99,192.168.3.20,4004,53300,1380
168,3.913622000,192.168.3.99,192.168.3.20,4004,53300,1380
169,3.913776000,192.168.3.20,192.168.3.99,53300,4004,72
170,3.914638000,192.168.3.99,192.168.3.20,4004,53300,1380
171,3.915670000,192.168.3.99,192.168.3.20,4004,53300,1380
172,3.916618000,192.168.3.99,192.168.3.20,4004,53300,1380
173,3.917708000,192.168.3.99,192.168.3.20,4004,53300,1380
174,3.918734000,192.168.3.99,192.168.3.20,4004,53300,1380
175,3.919783000,192.168.3.99,192.168.3.20,4004,53300,1380
176,3.920813000,192.168.3.99,192.168.3.20,4004,53300,1380
177,3.921830000,192.168.3.99,192.168.3.20,4004,53300,1380
178,3.922786000,192.168.3.99,192.168.3.20,4004,53300,1380
179,3.924827000,192.168.3.99,192.168.3.20,4004,53300,1380
180,3.924951000,192.168.3.20,192.168.3.99,53300,4004,68
181,3.925846000,192.168.3.99,192.168.3.20,4004,53300,1380
182,3.926874000,192.168.3.99,192.168.3.20,4004,53300,1380
183,3.926955000,192.168.2.20,192.168.2.99,4004,53300,1380
184,3.927097000,192.168.2.20,192.168.2.99,4004,53300,1380
185,3.927196000,192.168.2.20,192.168.2.99,4004,53300,1380
186,3.927289000,192.168.2.20,192.168.2.99,4004,53300,1380
187,3.927379000,192.168.2.20,192.168.2.99,4004,53300,1380
188,3.927485000,192.168.2.20,192.168.2.99,4004,53300,1380
189,3.927615000,192.168.2.20,192.168.2.99,4004,53300,1380
190,3.927712000,192.168.2.20,192.168.2.99,4004,53300,1380
191,3.927805000,192.168.2.20,192.168.2.99,4004,53300,1380
192,3.927910000,192.168.2.20,192.168.2.99,4004,53300,1192
193,3.928052000,192.168.3.99,192.168.3.20,4004,53300,1380
194,3.928845000,192.168.3.99,192.168.3.20,4004,53300,1380
195,3.930101000,192.168.3.99,192.168.3.20,4004,53300,1380
196,3.932117000,192.168.3.99,192.168.3.20,4004,53300,1380
197,3.932344000,192.168.3.20,192.168.3.99,53300,4004,68
198,3.933013000,192.168.3.99,192.168.3.20,4004,53300,1380
199,3.933910000,192.168.3.99,192.168.3.20,4004,53300,816
200,3.952115000,192.168.3.99,192.168.3.20,4004,53300,1380
201,3.953594000,192.168.3.99,192.168.3.20,4004,53300,1380
202,3.954030000,192.168.3.99,192.168.3.20,4004,53300,252
203,3.955934000,192.168.3.99,192.168.3.20,4004,53300,1380
204,3.956110000,192.168.3.20,192.168.3.99,53300,4004,68
205,3.956514000,192.168.3.99,192.168.3.20,4004,53300,1380
206,3.957457000,192.168.3.99,192.168.3.20,4004,53300,1380
207,3.958043000,192.168.3.99,192.168.3.20,4004,53300,1380
208,3.958909000,192.168.3.99,192.168.3.20,4004,53300,1380
209,3.959605000,192.168.3.99,192.168.3.20,4004,53300,1380
210,3.960460000,192.168.3.99,192.168.3.20,4004,53300,1380
211,3.961221000,192.168.3.99,192.168.3.20,4004,53300,1380
212,3.961994000,192.168.3.99,192.168.3.20,4004,53300,1380
213,3.967456000,192.168.2.20,192.168.2.99,4004,53300,1380
214,3.967708000,192.168.2.20,192.168.2.99,4004,53300,1380
215,3.967830000,192.168.2.20,192.168.2.99,4004,53300,1380
216,3.967939000,192.168.2.20,192.168.2.99,4004,53300,1380
217,3.968005000,192.168.2.20,192.168.2.99,4004,53300,1380
218,3.968080000,192.168.2.20,192.168.2.99,4004,53300,1380
219,3.971879000,192.168.2.20,192.168.2.99,4004,53300,1380
220,3.972152000,192.168.2.20,192.168.2.99,4004,53300,1380
221,3.972281000,192.168.2.20,192.168.2.99,4004,53300,1380
222,3.972401000,192.168.2.20,192.168.2.99,4004,53300,1380
223,3.972520000,192.168.2.20,192.168.2.99,4004,53300,816
224,3.988120000,192.168.2.99,192.168.2.20,53300,4004,68
225,3.988338000,192.168.2.20,192.168.2.99,4004,53300,816
226,3.989056000,192.168.3.99,192.168.3.20,4004,53300,1380
227,3.990024000,192.168.3.99,192.168.3.20,4004,53300,1380
228,3.991451000,192.168.3.99,192.168.3.20,4004,53300,1380
229,3.993147000,192.168.2.99,192.168.2.20,53300,4004,68
230,3.993307000,192.168.3.99,192.168.3.20,4004,53300,1380
231,3.993392000,192.168.2.20,192.168.2.99,4004,53300,1380
232,3.994889000,192.168.2.99,192.168.2.20,53300,4004,92
233,3.994986000,192.168.2.20,192.168.2.99,4004,53300,68
234,3.995084000,192.168.3.99,192.168.3.20,4004,53300,1380
235,3.995990000,192.168.2.99,192.168.2.20,53300,4004,68
236,3.996054000,192.168.3.99,192.168.3.20,4004,53300,1380
237,3.996106000,192.168.2.20,192.168.2.99,4004,53300,1380
238,3.997618000,192.168.3.99,192.168.3.20,4004,53300,1380
239,4.000439000,192.168.3.99,192.168.3.20,4004,53300,1380
240,4.000659000,192.168.3.20,192.168.3.99,53300,4004,68
241,4.001538000,192.168.3.99,192.168.3.20,4004,53300,1380
242,4.002320000,192.168.3.99,192.168.3.20,4004,53300,1380
243,4.003825000,192.168.3.99,192.168.3.20,4004,53300,1380
244,4.005505000,192.168.3.99,192.168.3.20,4004,53300,1380
245,4.005650000,192.168.3.20,192.168.3.99,53300,4004,92
246,4.006411000,192.168.3.99,192.168.3.20,4004,53300,1380
247,4.007675000,192.168.3.99,192.168.3.20,4004,53300,1380
248,4.007678000,192.168.2.20,192.168.2.99,4004,53300,1380
249,4.007788000,192.168.2.20,192.168.2.99,4004,53300,1380
250,4.007842000,192.168.3.20,192.168.3.99,53300,4004,68
251,4.007876000,192.168.2.20,192.168.2.99,4004,53300,252
252,4.007942000,192.168.2.20,192.168.2.99,4004,53300,1380
253,4.008041000,192.168.2.20,192.168.2.99,4004,53300,1380
254,4.008130000,192.168.2.20,192.168.2.99,4004,53300,1380
255,4.008219000,192.168.2.20,192.168.2.99,4004,53300,1380
256,4.008307000,192.168.2.20,192.168.2.99,4004,53300,1380
257,4.008405000,192.168.2.20,192.168.2.99,4004,53300,1380
258,4.008496000,192.168.2.20,192.168.2.99,4004,53300,1380
259,4.008569000,192.168.2.20,192.168.2.99,4004,53300,1380
260,4.008677000,192.168.2.20,192.168.2.99,4004,53300,1380
261,4.008768000,192.168.2.20,192.168.2.99,4004,53300,1380
262,4.008851000,192.168.2.20,192.168.2.99,4004,53300,1380
263,4.008852000,192.168.3.99,192.168.3.20,4004,53300,1380
264,4.008935000,192.168.2.20,192.168.2.99,4004,53300,1380
265,4.009024000,192.168.2.20,192.168.2.99,4004,53300,1380
266,4.009113000,192.168.2.20,192.168.2.99,4004,53300,1380
267,4.009196000,192.168.2.20,192.168.2.99,4004,53300,1380
268,4.009287000,192.168.2.20,192.168.2.99,4004,53300,1380
269,4.009374000,192.168.2.20,192.168.2.99,4004,53300,1380
270,4.009458000,192.168.2.20,192.168.2.99,4004,53300,1380
271,4.009491000,192.168.3.99,192.168.3.20,4004,53300,1380
272,4.009558000,192.168.2.20,192.168.2.99,4004,53300,1380
273,4.009660000,192.168.2.20,192.168.2.99,4004,53300,1004
274,4.010193000,192.168.3.99,192.168.3.20,4004,53300,1380
275,4.010296000,192.168.3.99,192.168.3.20,4004,53300,1380
276,4.010998000,192.168.3.99,192.168.3.20,4004,53300,252
277,4.014426000,192.168.2.99,192.168.2.20,53300,4004,72
278,4.014687000,192.168.2.20,192.168.2.99,4004,53300,1380
279,4.014816000,192.168.2.20,192.168.2.99,4004,53300,628
280,4.022655000,192.168.3.20,192.168.3.99,53300,4004,92
281,4.025606000,192.168.2.99,192.168.2.20,53300,4004,68
282,4.025860000,192.168.2.20,192.168.2.99,4004,53300,1380
283,4.027650000,192.168.3.99,192.168.3.20,4004,53300,1380
284,4.028723000,192.168.3.99,192.168.3.20,4004,53300,1380
285,4.030150000,192.168.3.99,192.168.3.20,4004,53300,1380
286,4.030315000,192.168.3.20,192.168.3.99,53300,4004,68
287,4.030905000,192.168.3.99,192.168.3.20,4004,53300,1380
288,4.031553000,192.168.3.99,192.168.3.20,4004,53300,1380
289,4.032155000,192.168.3.99,192.168.3.20,4004,53300,1380
290,4.032928000,192.168.3.99,192.168.3.20,4004,53300,1380
291,4.033062000,192.168.3.20,192.168.3.99,53300,4004,92
292,4.033854000,192.168.2.99,192.168.2.20,53300,4004,68
293,4.033959000,192.168.3.99,192.168.3.20,4004,53300,1380
294,4.034049000,192.168.2.20,192.168.2.99,4004,53300,1380
295,4.034565000,192.168.3.99,192.168.3.20,4004,53300,1192
296,4.048482000,192.168.2.20,192.168.2.99,4004,53300,1380
297,4.048674000,192.168.2.20,192.168.2.99,4004,53300,1380
298,4.048765000,192.168.2.20,192.168.2.99,4004,53300,1380
299,4.048852000,192.168.2.20,192.168.2.99,4004,53300,1380
300,4.048943000,192.168.2.20,192.168.2.99,4004,53300,1380
301,4.049035000,192.168.2.20,192.168.2.99,4004,53300,1380
302,4.049127000,192.168.2.20,192.168.2.99,4004,53300,1380
303,4.049240000,192.168.2.20,192.168.2.99,4004,53300,1380
304,4.049345000,192.168.2.20,192.168.2.99,4004,53300,1380
305,4.049442000,192.168.2.20,192.168.2.99,4004,53300,1380
306,4.049540000,192.168.2.20,192.168.2.99,4004,53300,1380
307,4.049680000,192.168.2.20,192.168.2.99,4004,53300,1380
308,4.049776000,192.168.2.20,192.168.2.99,4004,53300,1380
309,4.049862000,192.168.2.20,192.168.2.99,4004,53300,1380
310,4.049950000,192.168.2.20,192.168.2.99,4004,53300,628
311,4.068335000,192.168.3.99,192.168.3.20,4004,53300,1380
312,4.069656000,192.168.3.99,192.168.3.20,4004,53300,1380
313,4.070946000,192.168.3.99,192.168.3.20,4004,53300,1380
314,4.072185000,192.168.3.99,192.168.3.20,4004,53300,1380
315,4.073403000,192.168.3.99,192.168.3.20,4004,53300,1380
316,4.074714000,192.168.3.99,192.168.3.20,4004,53300,1380
317,4.075982000,192.168.3.99,192.168.3.20,4004,53300,1380
318,4.077012000,192.168.3.99,192.168.3.20,4004,53300,1380
319,4.077709000,192.168.3.99,192.168.3.20,4004,53300,1380
320,4.078323000,192.168.3.99,192.168.3.20,4004,53300,1380
321,4.078777000,192.168.3.99,192.168.3.20,4004,53300,816
322,4.087250000,192.168.2.20,192.168.2.99,4004,53300,1380
323,4.087420000,192.168.2.20,192.168.2.99,4004,53300,1380
324,4.087540000,192.168.2.20,192.168.2.99,4004,53300,1380
325,4.087671000,192.168.2.20,192.168.2.99,4004,53300,1380
326,4.087779000,192.168.2.20,192.168.2.99,4004,53300,1380
327,4.087892000,192.168.2.20,192.168.2.99,4004,53300,1380
328,4.088005000,192.168.2.20,192.168.2.99,4004,53300,1380
329,4.088112000,192.168.2.20,192.168.2.99,4004,53300,1380
330,4.088219000,192.168.2.20,192.168.2.99,4004,53300,1380
331,4.088315000,192.168.2.20,192.168.2.99,4004,53300,1380
332,4.088401000,192.168.2.20,192.168.2.99,4004,53300,1380
333,4.088489000,192.168.2.20,192.168.2.99,4004,53300,816
334,4.088770000,192.168.3.99,192.168.3.20,4004,53300,816
335,4.088876000,192.168.3.20,192.168.3.99,53300,4004,92
336,4.094257000,192.168.3.99,192.168.3.20,4004,53300,1380
337,4.095285000,192.168.3.99,192.168.3.20,4004,53300,68
338,4.096725000,192.168.3.99,192.168.3.20,4004,53300,1380
339,4.106971000,192.168.2.99,192.168.2.20,53300,4004,92
340,4.107184000,192.168.2.20,192.168.2.99,4004,53300,68
341,4.108332000,192.168.3.99,192.168.3.20,4004,53300,1380
342,4.109422000,192.168.2.99,192.168.2.20,53300,4004,68
343,4.109539000,192.168.2.20,192.168.2.99,4004,53300,1380
344,4.111623000,192.168.3.99,192.168.3.20,4004,53300,1380
345,4.111732000,192.168.3.20,192.168.3.99,53300,4004,72
346,4.112265000,192.168.3.99,192.168.3.20,4004,53300,1380
347,4.112842000,192.168.3.99,192.168.3.20,4004,53300,1380
348,4.113422000,192.168.3.99,192.168.3.20,4004,53300,1380
349,4.114009000,192.168.3.99,192.168.3.20,4004,53300,1380
350,4.115086000,192.168.3.99,192.168.3.20,4004,53300,1380
351,4.115784000,192.168.3.99,192.168.3.20,4004,53300,1380
352,4.116409000,192.168.3.99,192.168.3.20,4004,53300,1380
353,4.117010000,192.168.3.99,192.168.3.20,4004,53300,1380
354,4.117665000,192.168.3.99,192.168.3.20,4004,53300,1380
355,4.118252000,192.168.3.99,192.168.3.20,4004,53300,1380
356,4.119485000,192.168.3.99,192.168.3.20,4004,53300,1380
357,4.119591000,192.168.3.20,192.168.3.99,53300,4004,68
358,4.120102000,192.168.3.99,192.168.3.20,4004,53300,1380
359,4.120711000,192.168.3.99,192.168.3.20,4004,53300,1380
360,4.121934000,192.168.3.99,192.168.3.20,4004,53300,1380
361,4.122051000,192.168.3.20,192.168.3.99,53300,4004,68
362,4.122646000,192.168.3.99,192.168.3.20,4004,53300,1380
363,4.123168000,192.168.3.99,192.168.3.20,4004,53300,1380
364,4.123754000,192.168.2.99,192.168.2.20,53300,4004,92
365,4.123814000,192.168.3.99,192.168.3.20,4004,53300,1004
366,4.123868000,192.168.2.20,192.168.2.99,4004,53300,68
367,4.124600000,192.168.3.99,192.168.3.20,4004,53300,1380
368,4.124977000,192.168.3.99,192.168.3.20,4004,53300,628
369,4.126514000,192.168.3.99,192.168.3.20,4004,53300,1380
370,4.129208000,192.168.2.20,192.168.2.99,4004,53300,1380
371,4.129344000,192.168.2.20,192.168.2.99,4004,53300,1380
372,4.129449000,192.168.2.20,192.168.2.99,4004,53300,1380
373,4.129540000,192.168.2.20,192.168.2.99,4004,53300,1380
374,4.129665000,192.168.2.20,192.168.2.99,4004,53300,1380
375,4.129785000,192.168.2.20,192.168.2.99,4004,53300,1380
376,4.129887000,192.168.2.20,192.168.2.99,4004,53300,1380
377,4.129990000,192.168.2.20,192.168.2.99,4004,53300,1380
378,4.130104000,192.168.2.20,192.168.2.99,4004,53300,1380
379,4.130217000,192.168.2.20,192.168.2.99,4004,53300,1380
380,4.130315000,192.168.2.20,192.168.2.99,4004,53300,1380
381,4.130400000,192.168.2.20,192.168.2.99,4004,53300,1380
382,4.130510000,192.168.2.20,192.168.2.99,4004,53300,1380
383,4.130634000,192.168.2.20,192.168.2.99,4004,53300,1380
384,4.130744000,192.168.2.20,192.168.2.99,4004,53300,1380
385,4.130845000,192.168.2.20,192.168.2.99,4004,53300,1380
386,4.130962000,192.168.2.20,192.168.2.99,4004,53300,1380
387,4.130983000,192.168.2.99,192.168.2.20,53300,4004,68
388,4.131057000,192.168.2.20,192.168.2.99,4004,53300,1380
389,4.131163000,192.168.2.20,192.168.2.99,4004,53300,1380
390,4.131284000,192.168.2.20,192.168.2.99,4004,53300,1380
391,4.131394000,192.168.2.20,192.168.2.99,4004,53300,1380
392,4.133597000,192.168.2.99,192.168.2.20,53300,4004,92
393,4.134851000,192.168.3.99,192.168.3.20,4004,53300,1380
394,4.134953000,192.168.3.20,192.168.3.99,53300,4004,92
395,4.149326000,192.168.3.99,192.168.3.20,4004,53300,1380
396,4.150570000,192.168.3.99,192.168.3.20,4004,53300,1380
397,4.151301000,192.168.3.99,192.168.3.20,4004,53300,1380
398,4.152088000,192.168.3.99,192.168.3.20,4004,53300,1380
399,4.152887000,192.168.3.99,192.168.3.20,4004,53300,1380
400,4.153680000,192.168.3.99,192.168.3.20,4004,53300,1380
401,4.154534000,192.168.3.99,192.168.3.20,4004,53300,1380
402,4.155510000,192.168.3.99,192.168.3.20,4004,53300,1380
403,4.156369000,192.168.3.99,192.168.3.20,4004,53300,1380
404,4.158066000,192.168.3.99,192.168.3.20,4004,53300,1380
405,4.158167000,192.168.3.20,192.168.3.99,53300,4004,68
406,4.158221000,192.168.3.20,192.168.3.99,53300,4004,92
407,4.158943000,192.168.3.99,192.168.3.20,4004,53300,1380
408,4.159729000,192.168.3.99,192.168.3.20,4004,53300,1380
409,4.160619000,192.168.3.99,192.168.3.20,4004,53300,1380
410,4.161384000,192.168.3.99,192.168.3.20,4004,53300,628
411,4.168183000,192.168.2.20,192.168.2.99,4004,53300,1380
412,4.168336000,192.168.2.20,192.168.2.99,4004,53300,1380
413,4.168456000,192.168.2.20,192.168.2.99,4004,53300,252
414,4.168544000,192.168.2.20,192.168.2.99,4004,53300,1380
415,4.168705000,192.168.2.20,192.168.2.99,4004,53300,1380
416,4.168822000,192.168.2.20,192.168.2.99,4004,53300,1380
417,4.168940000,192.168.2.20,192.168.2.99,4004,53300,1380
418,4.169054000,192.168.2.20,192.168.2.99,4004,53300,1380
419,4.169172000,192.168.2.20,192.168.2.99,4004,53300,1380
420,4.169285000,192.168.2.20,192.168.2.99,4004,53300,1380
421,4.169387000,192.168.2.20,192.168.2.99,4004,53300,1380
422,4.169482000,192.168.2.20,192.168.2.99,4004,53300,1380
423,4.169569000,192.168.2.20,192.168.2.99,4004,53300,1380
424,4.169667000,192.168.2.20,192.168.2.99,4004,53300,1380
