frame.number,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len
98,2.192448000,192.168.2.20,192.168.2.20,37432,1935,4168
99,2.192474000,192.168.2.20,192.168.2.20,1935,37432,72
100,2.192503000,192.168.2.20,192.168.2.20,37432,1935,73
101,2.192560000,192.168.2.20,192.168.2.20,1935,37432,72
102,2.192611000,192.168.2.20,192.168.2.20,37432,1935,34781
103,2.192683000,192.168.2.20,192.168.2.20,1935,37432,72
104,2.193289000,192.168.3.99,192.168.3.20,1935,56806,72
105,2.193396000,192.168.3.20,192.168.3.99,56806,1935,284
106,2.222127000,192.168.2.20,192.168.2.20,37432,1935,80
107,2.222265000,192.168.2.20,192.168.2.20,1935,37432,72
108,2.222348000,192.168.2.20,192.168.2.20,37432,1935,15937
109,2.222444000,192.168.2.20,192.168.2.20,1935,37432,72
110,2.257138000,192.168.2.20,192.168.2.20,37432,1935,80
111,2.257254000,192.168.2.20,192.168.2.20,1935,37432,72
112,2.257294000,192.168.2.20,192.168.2.20,37432,1935,1940
113,2.257322000,192.168.2.20,192.168.2.20,1935,37432,72
114,2.292335000,192.168.2.20,192.168.2.20,37432,1935,80
115,2.292528000,192.168.2.20,192.168.2.20,1935,37432,72
116,2.292608000,192.168.2.20,192.168.2.20,37432,1935,2008
117,2.292694000,192.168.2.20,192.168.2.20,1935,37432,72
118,2.294681000,192.168.2.99,192.168.2.20,56806,1935,284
119,2.294787000,192.168.2.20,192.168.2.99,1935,56806,88
120,2.322851000,192.168.2.20,192.168.2.20,37432,1935,80
121,2.322968000,192.168.2.20,192.168.2.20,1935,37432,72
122,2.323022000,192.168.2.20,192.168.2.20,37432,1935,12689
123,2.323099000,192.168.2.20,192.168.2.20,1935,37432,72
124,2.323140000,192.168.2.20,192.168.2.20,37432,1935,6595
125,2.323180000,192.168.2.20,192.168.2.20,1935,37432,72
126,2.355675000,192.168.2.20,192.168.2.20,37432,1935,80
127,2.355777000,192.168.2.20,192.168.2.20,1935,37432,72
128,2.355824000,192.168.2.20,192.168.2.20,37432,1935,3606
129,2.355877000,192.168.2.20,192.168.2.20,1935,37432,72
