frame.number,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len
123,4.761819000,192.168.2.20,192.168.2.20,1935,47056,72
124,4.798147000,192.168.2.20,192.168.2.20,47056,1935,80
125,4.798335000,192.168.2.20,192.168.2.20,1935,47056,72
126,4.798431000,192.168.2.20,192.168.2.20,47056,1935,25043
127,4.798530000,192.168.2.20,192.168.2.20,1935,47056,72
128,4.798563000,192.168.2.20,192.168.2.20,47056,1935,1840
129,4.798593000,192.168.2.20,192.168.2.20,1935,47056,72
130,4.838521000,192.168.2.20,192.168.2.20,47056,1935,80
131,4.838711000,192.168.2.20,192.168.2.20,1935,47056,72
132,4.838780000,192.168.2.20,192.168.2.20,47056,1935,13445
133,4.838866000,192.168.2.20,192.168.2.20,1935,47056,72
134,4.877832000,192.168.2.20,192.168.2.20,47056,1935,80
135,4.877978000,192.168.2.20,192.168.2.20,1935,47056,72
136,4.878054000,192.168.2.20,192.168.2.20,47056,1935,26416
137,4.878157000,192.168.2.20,192.168.2.20,1935,47056,72
138,4.917209000,192.168.2.20,192.168.2.20,47056,1935,80
139,4.917296000,192.168.2.20,192.168.2.20,1935,47056,72
140,4.917345000,192.168.2.20,192.168.2.20,47056,1935,13106
141,4.917405000,192.168.2.20,192.168.2.20,1935,47056,72
142,4.957985000,192.168.2.20,192.168.2.20,47056,1935,80
143,4.958167000,192.168.2.20,192.168.2.20,1935,47056,72
144,4.958254000,192.168.2.20,192.168.2.20,47056,1935,14295
145,4.958368000,192.168.2.20,192.168.2.20,1935,47056,72
146,4.998448000,192.168.2.20,192.168.2.20,47056,1935,80
147,4.998531000,192.168.2.20,192.168.2.20,1935,47056,72
148,4.998571000,192.168.2.20,192.168.2.20,47056,1935,21313
149,4.998630000,192.168.2.20,192.168.2.20,1935,47056,72
150,4.998657000,192.168.2.20,192.168.2.20,47056,1935,4485
151,4.998686000,192.168.2.20,192.168.2.20,1935,47056,72
152,5.038822000,192.168.2.20,192.168.2.20,47056,1935,80
153,5.038912000,192.168.2.20,192.168.2.20,1935,47056,72
154,5.038957000,192.168.2.20,192.168.2.20,47056,1935,19356
155,5.039021000,192.168.2.20,192.168.2.20,1935,47056,72
156,5.066724000,192.168.2.20,192.168.2.99,1935,51566,1520
157,5.077362000,192.168.2.20,192.168.2.20,47056,1935,80
158,5.077492000,192.168.2.20,192.168.2.20,1935,47056,72
159,5.077568000,192.168.2.20,192.168.2.20,47056,1935,15255
160,5.077677000,192.168.2.20,192.168.2.20,1935,47056,72
161,5.118447000,192.168.2.20,192.168.2.20,47056,1935,80
162,5.118575000,192.168.2.20,192.168.2.20,1935,47056,72
163,5.118650000,192.168.2.20,192.168.2.20,47056,1935,17276
164,5.118767000,192.168.2.20,192.168.2.20,1935,47056,72
165,5.118824000,192.168.2.20,192.168.2.20,47056,1935,9043
166,5.118889000,192.168.2.20,192.168.2.20,1935,47056,72
167,5.158334000,192.168.2.20,192.168.2.20,47056,1935,80
168,5.158595000,192.168.2.20,192.168.2.20,1935,47056,72
169,5.158669000,192.168.2.20,192.168.2.20,47056,1935,18385
170,5.158765000,192.168.2.20,192.168.2.20,1935,47056,72
171,5.167569000,192.168.3.99,192.168.3.20,1935,51566,1520
172,5.167703000,192.168.3.20,192.168.3.99,51566,1935,72
173,5.168320000,192.168.3.20,192.168.3.99,51566,1935,1520
174,5.168393000,192.168.3.20,192.168.3.99,51566,1935,160
175,5.198098000,192.168.2.20,192.168.2.20,47056,1935,80
176,5.198174000,192.168.2.20,192.168.2.20,1935,47056,72
177,5.198212000,192.168.2.20,192.168.2.20,47056,1935,15407
178,5.198259000,192.168.2.20,192.168.2.20,1935,47056,72
179,5.237834000,192.168.2.20,192.168.2.20,47056,1935,80
180,5.237966000,192.168.2.20,192.168.2.20,1935,47056,72
181,5.238048000,192.168.2.20,192.168.2.20,47056,1935,13129
182,5.238156000,192.168.2.20,192.168.2.20,1935,47056,72
183,5.238216000,192.168.2.20,192.168.2.20,47056,1935,9072
184,5.238283000,192.168.2.20,192.168.2.20,1935,47056,72
185,5.268778000,192.168.2.99,192.168.2.20,51566,1935,72
186,5.269266000,192.168.2.99,192.168.2.20,51566,1935,1520
187,5.269776000,192.168.2.99,192.168.2.20,51566,1935,160
188,5.269847000,192.168.2.20,192.168.2.99,1935,51566,72
189,5.278156000,192.168.2.20,192.168.2.20,47056,1935,80
190,5.278316000,192.168.2.20,192.168.2.20,1935,47056,72
191,5.278383000,192.168.2.20,192.168.2.20,47056,1935,14232
192,5.278471000,192.168.2.20,192.168.2.20,1935,47056,72
193,5.318078000,192.168.2.20,192.168.2.20,47056,1935,80
194,5.318175000,192.168.2.20,192.168.2.20,1935,47056,72
195,5.318213000,192.168.2.20,192.168.2.20,47056,1935,10582
196,5.318271000,192.168.2.20,192.168.2.20,1935,47056,72
197,5.357150000,192.168.2.20,192.168.2.20,47056,1935,80
198,5.357283000,192.168.2.20,192.168.2.20,1935,47056,72
199,5.357352000,192.168.2.20,192.168.2.20,47056,1935,18197
200,5.357448000,192.168.2.20,192.168.2.20,1935,47056,72
201,5.370101000,192.168.3.99,192.168.3.20,1935,51566,72
202,5.370204000,192.168.3.20,192.168.3.99,51566,1935,284
203,5.397050000,192.168.2.20,192.168.2.20,47056,1935,80
204,5.397170000,192.168.2.20,192.168.2.20,1935,47056,72
205,5.397254000,192.168.2.20,192.168.2.20,47056,1935,41860
206,5.397368000,192.168.2.20,192.168.2.20,1935,47056,72
207,5.397420000,192.168.2.20,192.168.2.20,47056,1935,1933
208,5.397471000,192.168.2.20,192.168.2.20,1935,47056,72
209,5.438052000,192.168.2.20,192.168.2.20,47056,1935,80
210,5.438175000,192.168.2.20,192.168.2.20,1935,47056,72
211,5.438264000,192.168.2.20,192.168.2.20,47056,1935,23186
212,5.438382000,192.168.2.20,192.168.2.20,1935,47056,72
213,5.471249000,192.168.2.99,192.168.2.20,51566,1935,284
214,5.471441000,192.168.2.20,192.168.2.99,1935,51566,88
215,5.478369000,192.168.2.20,192.168.2.20,47056,1935,80
216,5.478533000,192.168.2.20,192.168.2.20,1935,47056,72
217,5.478620000,192.168.2.20,192.168.2.20,47056,1935,7685
218,5.478767000,192.168.2.20,192.168.2.20,1935,47056,72
219,5.517804000,192.168.2.20,192.168.2.20,47056,1935,73
220,5.517885000,192.168.2.20,192.168.2.20,1935,47056,72
221,5.517926000,192.168.2.20,192.168.2.20,47056,1935,20041
222,5.517977000,192.168.2.20,192.168.2.20,1935,47056,72
223,5.557934000,192.168.2.20,192.168.2.20,47056,1935,80
224,5.558069000,192.168.2.20,192.168.2.20,1935,47056,72
225,5.558106000,192.168.2.20,192.168.2.20,47056,1935,8422
226,5.558165000,192.168.2.20,192.168.2.20,1935,47056,72
227,5.597626000,192.168.2.20,192.168.2.20,47056,1935,80
228,5.597761000,192.168.2.20,192.168.2.20,1935,47056,72
229,5.597823000,192.168.2.20,192.168.2.20,47056,1935,9234
230,5.597909000,192.168.2.20,192.168.2.20,1935,47056,72
231,5.638019000,192.168.2.20,192.168.2.20,47056,1935,80
232,5.638109000,192.168.2.20,192.168.2.20,1935,47056,72
233,5.638142000,192.168.2.20,192.168.2.20,47056,1935,20968
234,5.638192000,192.168.2.20,192.168.2.20,1935,47056,72
235,5.638215000,192.168.2.20,192.168.2.20,47056,1935,760
236,5.638239000,192.168.2.20,192.168.2.20,1935,47056,72
237,5.678302000,192.168.2.20,192.168.2.20,47056,1935,80
238,5.678438000,192.168.2.20,192.168.2.20,1935,47056,72
239,5.678476000,192.168.2.20,192.168.2.20,47056,1935,7318
240,5.678528000,192.168.2.20,192.168.2.20,1935,47056,72
241,5.718369000,192.168.2.20,192.168.2.20,47056,1935,80
242,5.718465000,192.168.2.20,192.168.2.20,1935,47056,72
243,5.718524000,192.168.2.20,192.168.2.20,47056,1935,9018
244,5.718596000,192.168.2.20,192.168.2.20,1935,47056,72
245,5.757807000,192.168.2.20,192.168.2.20,47056,1935,80
246,5.757895000,192.168.2.20,192.168.2.20,1935,47056,72
247,5.757961000,192.168.2.20,192.168.2.20,47056,1935,23706
248,5.758037000,192.168.2.20,192.168.2.20,1935,47056,72
249,5.797794000,192.168.2.20,192.168.2.20,47056,1935,80
250,5.797941000,192.168.2.20,192.168.2.20,1935,47056,72
251,5.797983000,192.168.2.20,192.168.2.20,47056,1935,9165
252,5.798044000,192.168.2.20,192.168.2.20,1935,47056,72
253,5.838153000,192.168.2.20,192.168.2.20,47056,1935,80
254,5.838260000,192.168.2.20,192.168.2.20,1935,47056,72
255,5.838312000,192.168.2.20,192.168.2.20,47056,1935,11522
256,5.838377000,192.168.2.20,192.168.2.20,1935,47056,72
257,5.878562000,192.168.2.20,192.168.2.20,47056,1935,80
258,5.878641000,192.168.2.20,192.168.2.20,1935,47056,72
259,5.878683000,192.168.2.20,192.168.2.20,47056,1935,21356
260,5.878760000,192.168.2.20,192.168.2.20,1935,47056,72
261,5.878819000,192.168.2.20,192.168.2.20,47056,1935,3703
262,5.878878000,192.168.2.20,192.168.2.20,1935,47056,72
263,5.917800000,192.168.2.20,192.168.2.20,47056,1935,80
264,5.917920000,192.168.2.20,192.168.2.20,1935,47056,72
265,5.917984000,192.168.2.20,192.168.2.20,47056,1935,10211
266,5.918075000,192.168.2.20,192.168.2.20,1935,47056,72
267,5.958392000,192.168.2.20,192.168.2.20,47056,1935,80
268,5.958495000,192.168.2.20,192.168.2.20,1935,47056,72
269,5.958534000,192.168.2.20,192.168.2.20,47056,1935,4910
270,5.958594000,192.168.2.20,192.168.2.20,1935,47056,72
271,5.958627000,192.168.2.20,192.168.2.20,47056,1935,7783
272,5.958663000,192.168.2.20,192.168.2.20,1935,47056,72
273,5.962724000,192.168.3.20,192.168.3.99,51566,1935,284
274,5.998410000,192.168.2.20,192.168.2.20,47056,1935,80
275,5.998548000,192.168.2.20,192.168.2.20,1935,47056,72
276,5.998625000,192.168.2.20,192.168.2.20,47056,1935,27295
277,5.998749000,192.168.2.20,192.168.2.20,1935,47056,72
278,6.038526000,192.168.2.20,192.168.2.20,47056,1935,80
279,6.038662000,192.168.2.20,192.168.2.20,1935,47056,72
280,6.038765000,192.168.2.20,192.168.2.20,47056,1935,10846
281,6.038870000,192.168.2.20,192.168.2.20,1935,47056,72
282,6.077752000,192.168.2.20,192.168.2.20,47056,1935,80
283,6.077888000,192.168.2.20,192.168.2.20,1935,47056,72
284,6.077953000,192.168.2.20,192.168.2.20,47056,1935,12285
285,6.078035000,192.168.2.20,192.168.2.20,1935,47056,72
286,6.118277000,192.168.2.20,192.168.2.20,47056,1935,80
287,6.118413000,192.168.2.20,192.168.2.20,1935,47056,72
288,6.118485000,192.168.2.20,192.168.2.20,47056,1935,25160
289,6.118578000,192.168.2.20,192.168.2.20,1935,47056,72
290,6.158040000,192.168.2.20,192.168.2.20,47056,1935,80
291,6.158162000,192.168.2.20,192.168.2.20,1935,47056,72
292,6.158224000,192.168.2.20,192.168.2.20,47056,1935,7892
293,6.158304000,192.168.2.20,192.168.2.20,1935,47056,72
294,6.198063000,192.168.2.20,192.168.2.20,47056,1935,80
295,6.198199000,192.168.2.20,192.168.2.20,1935,47056,72
296,6.198293000,192.168.2.20,192.168.2.20,47056,1935,27896
297,6.198403000,192.168.2.20,192.168.2.20,1935,47056,72
298,6.218714000,192.168.2.20,192.168.2.99,1935,51566,307
299,6.237589000,192.168.2.20,192.168.2.20,47056,1935,80
300,6.237711000,192.168.2.20,192.168.2.20,1935,47056,72
301,6.237749000,192.168.2.20,192.168.2.20,47056,1935,8432
302,6.237807000,192.168.2.20,192.168.2.20,1935,47056,72
303,6.277532000,192.168.2.20,192.168.2.20,47056,1935,80
304,6.277654000,192.168.2.20,192.168.2.20,1935,47056,72
305,6.277737000,192.168.2.20,192.168.2.20,47056,1935,25344
306,6.277834000,192.168.2.20,192.168.2.20,1935,47056,72
307,6.318449000,192.168.2.20,192.168.2.20,47056,1935,80
308,6.318531000,192.168.2.20,192.168.2.20,1935,47056,72
309,6.318569000,192.168.2.20,192.168.2.20,47056,1935,10256
310,6.318645000,192.168.2.20,192.168.2.20,1935,47056,72
311,6.319385000,192.168.3.99,192.168.3.20,1935,51566,307
312,6.319508000,192.168.3.20,192.168.3.99,51566,1935,84
313,6.358037000,192.168.2.20,192.168.2.20,47056,1935,80
314,6.358125000,192.168.2.20,192.168.2.20,1935,47056,72
315,6.358168000,192.168.2.20,192.168.2.20,47056,1935,11354
316,6.358224000,192.168.2.20,192.168.2.20,1935,47056,72
317,6.397853000,192.168.2.20,192.168.2.20,47056,1935,80
318,6.397981000,192.168.2.20,192.168.2.20,1935,47056,72
319,6.398075000,192.168.2.20,192.168.2.20,47056,1935,24888
320,6.398194000,192.168.2.20,192.168.2.20,1935,47056,72
321,6.420748000,192.168.2.99,192.168.2.20,51566,1935,84
322,6.420856000,192.168.2.20,192.168.2.99,1935,51566,88
323,6.438387000,192.168.2.20,192.168.2.20,47056,1935,80
324,6.438480000,192.168.2.20,192.168.2.20,1935,47056,72
325,6.438519000,192.168.2.20,192.168.2.20,47056,1935,8282
326,6.438569000,192.168.2.20,192.168.2.20,1935,47056,72
327,6.477549000,192.168.2.20,192.168.2.20,47056,1935,80
328,6.477650000,192.168.2.20,192.168.2.20,1935,47056,72
329,6.477701000,192.168.2.20,192.168.2.20,47056,1935,9633
330,6.477764000,192.168.2.20,192.168.2.20,1935,47056,72
331,6.516991000,192.168.2.20,192.168.2.20,47056,1935,80
332,6.517072000,192.168.2.20,192.168.2.20,1935,47056,72
333,6.517114000,192.168.2.20,192.168.2.20,47056,1935,25053
334,6.517173000,192.168.2.20,192.168.2.20,1935,47056,72
335,6.517200000,192.168.2.20,192.168.2.20,47056,1935,2912
336,6.517227000,192.168.2.20,192.168.2.20,1935,47056,72
337,6.521186000,192.168.3.99,192.168.3.20,1935,51566,88
338,6.521349000,192.168.3.20,192.168.3.99,51566,1935,72
339,6.521588000,192.168.3.20,192.168.3.99,51566,1935,84
340,6.557552000,192.168.2.20,192.168.2.20,47056,1935,80
341,6.557683000,192.168.2.20,192.168.2.20,1935,47056,72
342,6.557779000,192.168.2.20,192.168.2.20,47056,1935,9485
343,6.557894000,192.168.2.20,192.168.2.20,1935,47056,72
344,6.597393000,192.168.2.20,192.168.2.20,47056,1935,80
345,6.597480000,192.168.2.20,192.168.2.20,1935,47056,72
346,6.597517000,192.168.2.20,192.168.2.20,47056,1935,12421
347,6.597565000,192.168.2.20,192.168.2.20,1935,47056,72
348,6.622345000,192.168.2.99,192.168.2.20,51566,1935,72
349,6.623126000,192.168.2.99,192.168.2.20,51566,1935,84
350,6.637510000,192.168.2.20,192.168.2.20,47056,1935,80
351,6.637600000,192.168.2.20,192.168.2.20,1935,47056,72
352,6.637658000,192.168.2.20,192.168.2.20,47056,1935,27705
353,6.637744000,192.168.2.20,192.168.2.20,1935,47056,72
354,6.663714000,192.168.2.20,192.168.2.99,1935,51566,72
355,6.677980000,192.168.2.20,192.168.2.20,47056,1935,80
356,6.678068000,192.168.2.20,192.168.2.20,1935,47056,72
357,6.678099000,192.168.2.20,192.168.2.20,47056,1935,9832
358,6.678144000,192.168.2.20,192.168.2.20,1935,47056,72
359,6.717513000,192.168.2.20,192.168.2.20,47056,1935,80
360,6.717715000,192.168.2.20,192.168.2.20,1935,47056,72
361,6.717803000,192.168.2.20,192.168.2.20,47056,1935,12222
362,6.717916000,192.168.2.20,192.168.2.20,1935,47056,72
363,6.757065000,192.168.2.20,192.168.2.20,47056,1935,80
364,6.757182000,192.168.2.20,192.168.2.20,1935,47056,72
365,6.757252000,192.168.2.20,192.168.2.20,47056,1935,27414
366,6.757349000,192.168.2.20,192.168.2.20,1935,47056,72
367,6.764314000,192.168.3.99,192.168.3.20,1935,51566,72
368,6.764436000,192.168.3.20,192.168.3.99,51566,1935,109
369,6.797623000,192.168.2.20,192.168.2.20,47056,1935,80
370,6.797718000,192.168.2.20,192.168.2.20,1935,47056,72
371,6.797750000,192.168.2.20,192.168.2.20,47056,1935,9608
372,6.797796000,192.168.2.20,192.168.2.20,1935,47056,72
373,6.838356000,192.168.2.20,192.168.2.20,47056,1935,80
374,6.838489000,192.168.2.20,192.168.2.20,1935,47056,72
375,6.838546000,192.168.2.20,192.168.2.20,47056,1935,12577
376,6.838596000,192.168.2.20,192.168.2.20,1935,47056,72
377,6.865658000,192.168.2.99,192.168.2.20,51566,1935,109
378,6.865771000,192.168.2.20,192.168.2.99,1935,51566,72
379,6.865816000,192.168.2.20,192.168.2.99,1935,51566,113
380,6.877758000,192.168.2.20,192.168.2.20,47056,1935,80
381,6.877887000,192.168.2.20,192.168.2.20,1935,47056,72
382,6.877970000,192.168.2.20,192.168.2.20,47056,1935,13099
383,6.878078000,192.168.2.20,192.168.2.20,1935,47056,72
384,6.878140000,192.168.2.20,192.168.2.20,47056,1935,15252
385,6.878211000,192.168.2.20,192.168.2.20,1935,47056,72
386,6.917720000,192.168.2.20,192.168.2.20,47056,1935,80
387,6.917896000,192.168.2.20,192.168.2.20,1935,47056,72
388,6.917978000,192.168.2.20,192.168.2.20,47056,1935,10048
389,6.918086000,192.168.2.20,192.168.2.20,1935,47056,72
390,6.957257000,192.168.2.20,192.168.2.20,47056,1935,80
391,6.957391000,192.168.2.20,192.168.2.20,1935,47056,72
392,6.957487000,192.168.2.20,192.168.2.20,47056,1935,12222
393,6.957595000,192.168.2.20,192.168.2.20,1935,47056,72
394,6.966074000,192.168.3.99,192.168.3.20,1935,51566,72
395,6.966624000,192.168.3.99,192.168.3.20,1935,51566,113
396,6.966790000,192.168.3.20,192.168.3.99,51566,1935,84
397,6.997462000,192.168.2.20,192.168.2.20,47056,1935,80
398,6.997566000,192.168.2.20,192.168.2.20,1935,47056,72
399,6.997598000,192.168.2.20,192.168.2.20,47056,1935,4951
400,6.997641000,192.168.2.20,192.168.2.20,1935,47056,72
401,6.997721000,192.168.2.20,192.168.2.20,47056,1935,24654
402,6.997812000,192.168.2.20,192.168.2.20,1935,47056,72
403,6.997838000,192.168.2.20,192.168.2.20,47056,1935,723
404,6.997893000,192.168.2.20,192.168.2.20,1935,47056,72
405,7.037840000,192.168.2.20,192.168.2.20,47056,1935,80
406,7.037930000,192.168.2.20,192.168.2.20,1935,47056,72
407,7.037961000,192.168.2.20,192.168.2.20,47056,1935,8187
408,7.038005000,192.168.2.20,192.168.2.20,1935,47056,72
409,7.068175000,192.168.2.99,192.168.2.20,51566,1935,84
410,7.077209000,192.168.2.20,192.168.2.20,47056,1935,80
411,7.077303000,192.168.2.20,192.168.2.20,1935,47056,72
412,7.077358000,192.168.2.20,192.168.2.20,47056,1935,25028
413,7.077423000,192.168.2.20,192.168.2.20,1935,47056,72
414,7.077452000,192.168.2.20,192.168.2.20,47056,1935,302
415,7.077484000,192.168.2.20,192.168.2.20,1935,47056,72
416,7.108715000,192.168.2.20,192.168.2.99,1935,51566,72
417,7.118056000,192.168.2.20,192.168.2.20,47056,1935,73
418,7.118161000,192.168.2.20,192.168.2.20,1935,47056,72
419,7.118195000,192.168.2.20,192.168.2.20,47056,1935,7221
420,7.118242000,192.168.2.20,192.168.2.20,1935,47056,72
421,7.157282000,192.168.2.20,192.168.2.20,47056,1935,80
422,7.157367000,192.168.2.20,192.168.2.20,1935,47056,72
423,7.157416000,192.168.2.20,192.168.2.20,47056,1935,25544
424,7.157490000,192.168.2.20,192.168.2.20,1935,47056,72
425,7.157519000,192.168.2.20,192.168.2.20,47056,1935,12255
426,7.157551000,192.168.2.20,192.168.2.20,1935,47056,72
427,7.197556000,192.168.2.20,192.168.2.20,47056,1935,80
428,7.197738000,192.168.2.20,192.168.2.20,1935,47056,72
429,7.197794000,192.168.2.20,192.168.2.20,47056,1935,27362
430,7.197865000,192.168.2.20,192.168.2.20,1935,47056,72
431,7.209074000,192.168.3.99,192.168.3.20,1935,51566,72
