frame.number,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len
1,0.000000000,192.168.2.20,192.168.2.99,1935,41262,72
2,0.100420000,192.168.3.99,192.168.3.20,1935,41262,72
3,0.103619000,192.168.3.20,192.168.3.99,41262,1935,80
4,0.103714000,192.168.3.20,192.168.3.99,41262,1935,106
5,0.205630000,192.168.2.99,192.168.2.20,41262,1935,80
6,0.205818000,192.168.2.20,192.168.2.99,1935,41262,60
7,0.206493000,192.168.2.99,192.168.2.20,41262,1935,106
8,0.206525000,192.168.2.20,192.168.2.99,1935,41262,60
9,0.306819000,192.168.3.99,192.168.3.20,1935,41262,66
10,0.307549000,192.168.3.99,192.168.3.20,1935,41262,66
11,1.127440000,192.168.2.20,192.168.2.20,47056,1935,80
12,1.127487000,192.168.2.20,192.168.2.20,1935,47056,80
13,1.127528000,192.168.2.20,192.168.2.20,47056,1935,72
14,1.127627000,192.168.2.20,192.168.2.20,47056,1935,1609
15,1.127663000,192.168.2.20,192.168.2.20,1935,47056,72
16,1.128532000,192.168.2.20,192.168.2.20,1935,47056,1609
17,1.128566000,192.168.2.20,192.168.2.20,47056,1935,72
18,1.128621000,192.168.2.20,192.168.2.20,1935,47056,1608
19,1.128649000,192.168.2.20,192.168.2.20,47056,1935,72
20,1.128706000,192.168.2.20,192.168.2.20,47056,1935,1608
21,1.169762000,192.168.2.20,192.168.2.20,1935,47056,72
22,1.169802000,192.168.2.20,192.168.2.20,47056,1935,227
23,1.169839000,192.168.2.20,192.168.2.20,1935,47056,72
24,1.169926000,192.168.2.20,192.168.2.20,1935,47056,88
25,1.211731000,192.168.2.20,192.168.2.20,47056,1935,72
26,1.211768000,192.168.2.20,192.168.2.20,1935,47056,307
27,1.211804000,192.168.2.20,192.168.2.20,47056,1935,72
28,1.211881000,192.168.2.20,192.168.2.20,47056,1935,84
29,1.252781000,192.168.2.20,192.168.2.20,1935,47056,72
30,1.252829000,192.168.2.20,192.168.2.20,47056,1935,191
31,1.252871000,192.168.2.20,192.168.2.20,1935,47056,72
32,1.253086000,192.168.2.20,192.168.2.20,1935,47056,113
33,1.253223000,192.168.2.20,192.168.2.20,47056,1935,84
34,1.293850000,192.168.2.20,192.168.2.20,1935,47056,72
35,1.293935000,192.168.2.20,192.168.2.20,47056,1935,108
36,1.294010000,192.168.2.20,192.168.2.20,1935,47056,72
37,1.294172000,192.168.2.20,192.168.2.20,1935,47056,189
38,1.335097000,192.168.2.20,192.168.2.20,47056,1935,72
39,2.096657000,192.168.3.20,192.168.3.99,51566,1935,80
40,2.197571000,192.168.2.99,192.168.2.20,51566,1935,80
41,2.197684000,192.168.2.20,192.168.2.99,1935,51566,80
42,2.290897000,192.168.2.20,192.168.2.20,47056,1935,84
43,2.297970000,192.168.3.99,192.168.3.20,1935,51566,80
44,2.298109000,192.168.3.20,192.168.3.99,51566,1935,72
45,2.298249000,192.168.3.20,192.168.3.99,51566,1935,1520
46,2.298285000,192.168.3.20,192.168.3.99,51566,1935,161
47,2.331811000,192.168.2.20,192.168.2.20,1935,47056,72
48,2.331869000,192.168.2.20,192.168.2.20,47056,1935,540
49,2.331906000,192.168.2.20,192.168.2.20,1935,47056,72
50,2.399293000,192.168.2.99,192.168.2.20,51566,1935,72
51,2.400585000,192.168.2.99,192.168.2.20,51566,1935,161
52,2.400677000,192.168.2.20,192.168.2.99,1935,51566,84
53,2.706950000,192.168.3.20,192.168.3.99,51566,1935,161
54,2.808635000,192.168.2.99,192.168.2.20,51566,1935,161
55,2.808802000,192.168.2.20,192.168.2.99,1935,51566,92
56,2.909580000,192.168.3.99,192.168.3.20,1935,51566,92
57,2.909813000,192.168.3.20,192.168.3.99,51566,1935,1520
58,3.011771000,192.168.2.99,192.168.2.20,51566,1935,1520
59,3.011930000,192.168.2.20,192.168.2.99,1935,51566,72
60,3.012155000,192.168.2.20,192.168.2.99,1935,51566,1520
61,3.012207000,192.168.2.20,192.168.2.99,1935,51566,161
62,3.012332000,192.168.2.20,192.168.2.99,1935,51566,1520
63,3.112552000,192.168.3.99,192.168.3.20,1935,51566,72
64,3.113499000,192.168.3.99,192.168.3.20,1935,51566,1520
65,3.113586000,192.168.3.20,192.168.3.99,51566,1935,72
66,3.113675000,192.168.3.99,192.168.3.20,1935,51566,161
67,3.113742000,192.168.3.20,192.168.3.99,51566,1935,72
68,3.215666000,192.168.2.99,192.168.2.20,51566,1935,72
69,3.626768000,192.168.2.20,192.168.2.99,1935,51566,160
70,3.727320000,192.168.3.99,192.168.3.20,1935,51566,160
71,3.727474000,192.168.3.20,192.168.3.99,51566,1935,84
72,3.828738000,192.168.2.99,192.168.2.20,51566,1935,84
73,3.883725000,192.168.2.20,192.168.2.99,1935,51566,1520
74,4.760036000,192.168.2.20,192.168.2.20,47056,1935,84
75,4.760111000,192.168.2.20,192.168.2.20,1935,47056,72
76,4.760183000,192.168.2.20,192.168.2.20,47056,1935,365
77,4.760233000,192.168.2.20,192.168.2.20,1935,47056,72
78,4.760299000,192.168.2.20,192.168.2.20,47056,1935,80
79,4.760350000,192.168.2.20,192.168.2.20,1935,47056,72
80,4.760407000,192.168.2.20,192.168.2.20,47056,1935,377
81,4.760456000,192.168.2.20,192.168.2.20,1935,47056,72
82,4.760515000,192.168.2.20,192.168.2.20,47056,1935,80
83,4.760564000,192.168.2.20,192.168.2.20,1935,47056,72
84,4.760618000,192.168.2.20,192.168.2.20,47056,1935,331
85,4.760642000,192.168.2.20,192.168.2.20,1935,47056,72
86,4.760671000,192.168.2.20,192.168.2.20,47056,1935,80
87,4.760708000,192.168.2.20,192.168.2.20,1935,47056,72
88,4.760735000,192.168.2.20,192.168.2.20,47056,1935,382
89,4.760757000,192.168.2.20,192.168.2.20,1935,47056,72
90,4.760784000,192.168.2.20,192.168.2.20,47056,1935,80
91,4.760807000,192.168.2.20,192.168.2.20,1935,47056,72
92,4.760832000,192.168.2.20,192.168.2.20,47056,1935,398
93,4.760855000,192.168.2.20,192.168.2.20,1935,47056,72
94,4.760882000,192.168.2.20,192.168.2.20,47056,1935,80
95,4.760904000,192.168.2.20,192.168.2.20,1935,47056,72
96,4.760930000,192.168.2.20,192.168.2.20,47056,1935,412
97,4.760952000,192.168.2.20,192.168.2.20,1935,47056,72
98,4.760979000,192.168.2.20,192.168.2.20,47056,1935,80
99,4.761001000,192.168.2.20,192.168.2.20,1935,47056,72
100,4.761027000,192.168.2.20,192.168.2.20,47056,1935,418
101,4.761049000,192.168.2.20,192.168.2.20,1935,47056,72
102,4.761078000,192.168.2.20,192.168.2.20,47056,1935,80
103,4.761100000,192.168.2.20,192.168.2.20,1935,47056,72
104,4.761126000,192.168.2.20,192.168.2.20,47056,1935,425
105,4.761148000,192.168.2.20,192.168.2.20,1935,47056,72
106,4.761175000,192.168.2.20,192.168.2.20,47056,1935,80
107,4.761231000,192.168.2.20,192.168.2.20,1935,47056,72
108,4.761262000,192.168.2.20,192.168.2.20,47056,1935,4659
109,4.761286000,192.168.2.20,192.168.2.20,1935,47056,72
110,4.761312000,192.168.2.20,192.168.2.20,47056,1935,417
111,4.761334000,192.168.2.20,192.168.2.20,1935,47056,72
112,4.761361000,192.168.2.20,192.168.2.20,47056,1935,80
113,4.761396000,192.168.2.20,192.168.2.20,1935,47056,72
114,4.761432000,192.168.2.20,192.168.2.20,47056,1935,3158
115,4.761467000,192.168.2.20,192.168.2.20,1935,47056,72
116,4.761502000,192.168.2.20,192.168.2.20,47056,1935,4231
117,4.761543000,192.168.2.20,192.168.2.20,1935,47056,72
118,4.761573000,192.168.2.20,192.168.2.20,47056,1935,1209
119,4.761606000,192.168.2.20,192.168.2.20,1935,47056,72
120,4.761652000,192.168.2.20,192.168.2.20,47056,1935,32856
121,4.761756000,192.168.2.20,192.168.2.20,1935,47056,72
122,4.761789000,192.168.2.20,192.168.2.20,47056,1935,4658
