"No.","Time","Source","Destination","Protocol","Length","Info"
"3018","19.948719","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4433534 Win=126208 Len=0 TSval=637876033 TSecr=637876033"
"3019","19.948726","192.168.2.20","192.168.2.20","RTMP","3857","Video Data"
"3020","19.948735","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4437319 Win=126208 Len=0 TSval=637876033 TSecr=637876033"
"3021","19.984560","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3614544 Win=1302400 Len=0 TSval=637876069 TSecr=637876028"
"3022","19.984604","192.168.2.20","192.168.2.20","RTMP","8716","Audio Data|Audio Data|Video Data"
"3023","19.988716","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4437319 Ack=3483 Win=79744 Len=8 TSval=637876073 TSecr=637876033"
"3024","19.988776","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4437327 Win=126208 Len=0 TSval=637876073 TSecr=637876073"
"3025","19.988787","192.168.2.20","192.168.2.20","RTMP","872","Audio Data|Audio Data"
"3026","19.988800","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4438127 Win=126208 Len=0 TSval=637876073 TSecr=637876073"
"3027","19.988826","192.168.2.20","192.168.2.20","TCP","8273","39862  >  1935 [PSH, ACK] Seq=4438127 Ack=3483 Win=79744 Len=8201 TSval=637876073 TSecr=637876073"
"3028","19.988863","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4446328 Win=126208 Len=0 TSval=637876073 TSecr=637876073"
"3029","19.988873","192.168.2.20","192.168.2.20","RTMP","9781","Video Data"
"3030","19.988886","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4456037 Win=126208 Len=0 TSval=637876073 TSecr=637876073"
"3031","20.025532","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3623188 Win=1293952 Len=0 TSval=637876110 TSecr=637876069"
"3032","20.025578","192.168.2.20","192.168.2.20","RTMP","18790","Audio Data|Audio Data|Video Data"
"3033","20.028708","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4456037 Ack=3483 Win=79744 Len=8 TSval=637876113 TSecr=637876073"
"3034","20.028771","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4456045 Win=126208 Len=0 TSval=637876113 TSecr=637876113"
"3035","20.028787","192.168.2.20","192.168.2.20","RTMP","411","Audio Data"
"3036","20.028803","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4456384 Win=126208 Len=0 TSval=637876113 TSecr=637876113"
"3037","20.028813","192.168.2.20","192.168.2.20","TCP","4177","39862  >  1935 [PSH, ACK] Seq=4456384 Ack=3483 Win=79744 Len=4105 TSval=637876113 TSecr=637876113"
"3038","20.028837","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4460489 Win=126208 Len=0 TSval=637876113 TSecr=637876113"
"3039","20.028847","192.168.2.20","192.168.2.20","RTMP","7654","Video Data"
"3040","20.028862","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4468071 Win=126208 Len=0 TSval=637876113 TSecr=637876113"
"3041","20.066536","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3641906 Win=1275520 Len=0 TSval=637876151 TSecr=637876110"
"3042","20.066579","192.168.2.20","192.168.2.20","RTMP","12106","Audio Data|Video Data"
"3043","20.068241","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4468071 Ack=3483 Win=79744 Len=8 TSval=637876152 TSecr=637876113"
"3044","20.068286","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4468079 Win=126208 Len=0 TSval=637876152 TSecr=637876152"
"3045","20.068299","192.168.2.20","192.168.2.20","RTMP","8983","Audio Data|Audio Data"
"3046","20.068336","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4476990 Win=126208 Len=0 TSval=637876152 TSecr=637876152"
"3047","20.068344","192.168.2.20","192.168.2.20","RTMP","437","Video Data"
"3048","20.068353","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4477355 Win=126208 Len=0 TSval=637876152 TSecr=637876152"
"3049","20.107529","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3653940 Win=1263616 Len=0 TSval=637876192 TSecr=637876151"
"3050","20.107573","192.168.2.20","192.168.2.20","RTMP","9356","Audio Data|Audio Data|Video Data"
"3051","20.108096","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4477355 Ack=3483 Win=79744 Len=8 TSval=637876192 TSecr=637876152"
"3052","20.108163","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4477363 Win=126208 Len=0 TSval=637876192 TSecr=637876192"
"3053","20.108174","192.168.2.20","192.168.2.20","RTMP","824","Audio Data|Audio Data"
"3054","20.108187","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4478115 Win=126208 Len=0 TSval=637876192 TSecr=637876192"
"3055","20.108204","192.168.2.20","192.168.2.20","TCP","8273","39862  >  1935 [PSH, ACK] Seq=4478115 Ack=3483 Win=79744 Len=8201 TSval=637876192 TSecr=637876192"
"3056","20.108225","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4486316 Win=126208 Len=0 TSval=637876192 TSecr=637876192"
"3057","20.108231","192.168.2.20","192.168.2.20","TCP","4170","39862  >  1935 [PSH, ACK] Seq=4486316 Ack=3483 Win=79744 Len=4098 TSval=637876192 TSecr=637876192"
"3058","20.108238","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4490414 Win=126208 Len=0 TSval=637876192 TSecr=637876192"
"3059","20.108250","192.168.2.20","192.168.2.20","TCP","4169","39862  >  1935 [PSH, ACK] Seq=4490414 Ack=3483 Win=79744 Len=4097 TSval=637876192 TSecr=637876192"
"3060","20.108259","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4494511 Win=126208 Len=0 TSval=637876192 TSecr=637876192"
"3061","20.108266","192.168.2.20","192.168.2.20","RTMP","1976","Video Data"
"3062","20.108273","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4496415 Win=126208 Len=0 TSval=637876192 TSecr=637876192"
"3063","20.148395","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4496415 Ack=3483 Win=79744 Len=8 TSval=637876232 TSecr=637876192"
"3064","20.148473","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4496423 Win=126208 Len=0 TSval=637876232 TSecr=637876232"
"3065","20.148490","192.168.2.20","192.168.2.20","RTMP","11342","Audio Data|Video Data"
"3066","20.148532","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4507693 Win=126208 Len=0 TSval=637876233 TSecr=637876233"
"3067","20.149496","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3663224 Win=1254528 Len=0 TSval=637876234 TSecr=637876192"
"3068","20.149535","192.168.2.20","192.168.2.20","RTMP","30410","Audio Data|Audio Data|Video Data|Audio Data|Video Data"
"3069","20.188221","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4507693 Ack=3483 Win=79744 Len=8 TSval=637876272 TSecr=637876233"
"3070","20.188289","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4507701 Win=126208 Len=0 TSval=637876272 TSecr=637876272"
"3071","20.188307","192.168.2.20","192.168.2.20","RTMP","830","Audio Data|Audio Data"
"3072","20.188328","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4508459 Win=126208 Len=0 TSval=637876272 TSecr=637876272"
"3073","20.188336","192.168.2.20","192.168.2.20","TCP","4169","39862  >  1935 [PSH, ACK] Seq=4508459 Ack=3483 Win=79744 Len=4097 TSval=637876272 TSecr=637876272"
"3074","20.188358","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4512556 Win=126208 Len=0 TSval=637876272 TSecr=637876272"
"3075","20.188364","192.168.2.20","192.168.2.20","RTMP","4771","Video Data"
"3076","20.188379","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4517255 Win=126208 Len=0 TSval=637876272 TSecr=637876272"
