"No.","Time","Source","Destination","Protocol","Length","Info"
"70","0.031422","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"71","0.033139","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"72","0.034903","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"73","0.036807","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"74","0.038762","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"75","0.040803","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"76","0.043184","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"77","0.045144","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"78","0.047603","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"79","0.049703","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"80","0.051819","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"81","0.053670","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"82","0.060422","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"83","0.064257","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"84","0.068119","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"85","0.070240","192.168.2.20","192.168.2.99","UDP","1376","57068  >  4004 Len=1328"
"86","0.071784","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"87","0.071852","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"88","0.071897","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"89","0.071942","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"90","0.071974","192.168.2.20","192.168.2.99","UDP","1376","57068  >  4004 Len=1328"
"91","0.071985","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"92","0.072025","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"93","0.072063","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"94","0.072102","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"95","0.072140","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"96","0.072179","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
"97","0.072322","192.168.2.20","192.168.2.99","UDP","1376","52337  >  4004 Len=1328"
