"No.","Time","Source","Destination","Protocol","Length","Info"
"214","0.329179","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"215","0.329751","192.168.3.99","192.168.3.20","UDP","252","4004  >  36216 Len=204"
"216","0.330286","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"217","0.343008","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"218","0.344512","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"219","0.344580","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"220","0.345247","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"221","0.356920","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"222","0.356959","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"223","0.356966","192.168.2.20","192.168.2.99","UDP","440","4004  >  36216 Len=392"
"224","0.356973","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"225","0.358586","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"226","0.359988","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"227","0.361232","192.168.3.99","192.168.3.20","UDP","440","4004  >  36216 Len=392"
"228","0.362709","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"229","0.373019","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"230","0.373999","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"231","0.374064","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"232","0.374757","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"233","0.388990","192.168.2.20","192.168.2.99","UDP","628","4004  >  36216 Len=580"
"234","0.390138","192.168.3.99","192.168.3.20","UDP","628","4004  >  36216 Len=580"
"235","0.403038","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"236","0.404177","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"237","0.404261","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"238","0.405167","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"239","0.424813","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"240","0.424851","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"241","0.424859","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"242","0.424866","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"243","0.424874","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"244","0.424882","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"245","0.427051","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"246","0.428310","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"247","0.429463","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"248","0.430632","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"249","0.432162","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"250","0.433989","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"251","0.446043","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"252","0.447570","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"253","0.447659","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"254","0.448408","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"255","0.456258","192.168.2.20","192.168.2.99","UDP","1192","4004  >  36216 Len=1144"
"256","0.457898","192.168.3.99","192.168.3.20","UDP","1192","4004  >  36216 Len=1144"
"257","0.458040","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"258","0.459029","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"259","0.459193","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"260","0.460093","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"261","0.488855","192.168.2.20","192.168.2.99","UDP","440","4004  >  36216 Len=392"
"262","0.489974","192.168.3.99","192.168.3.20","UDP","440","4004  >  36216 Len=392"
"263","0.502018","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"264","0.503141","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"265","0.503218","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"266","0.503991","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"267","0.522208","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"268","0.522241","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"269","0.522252","192.168.2.20","192.168.2.99","UDP","440","4004  >  36216 Len=392"
"270","0.522263","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"271","0.522274","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"272","0.522285","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"273","0.522297","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"274","0.522309","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"275","0.522320","192.168.2.20","192.168.2.99","UDP","816","4004  >  36216 Len=768"
"276","0.523792","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"277","0.524742","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"278","0.525515","192.168.3.99","192.168.3.20","UDP","440","4004  >  36216 Len=392"
"279","0.525628","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"280","0.526401","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"281","0.527306","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"282","0.527390","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"283","0.527874","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"284","0.528631","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"285","0.529428","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"286","0.530303","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"287","0.531072","192.168.3.99","192.168.3.20","UDP","816","4004  >  36216 Len=768"
"288","0.531716","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"289","0.543051","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"290","0.545498","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"291","0.545556","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"292","0.546251","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"293","0.556298","192.168.2.20","192.168.2.99","UDP","816","4004  >  36216 Len=768"
"294","0.557593","192.168.3.99","192.168.3.20","UDP","816","4004  >  36216 Len=768"
"295","0.557737","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"296","0.558549","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"297","0.558628","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"298","0.559340","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"299","0.588848","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"300","0.588875","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"301","0.588883","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"302","0.588890","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"303","0.588897","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"304","0.588903","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"305","0.588909","192.168.2.20","192.168.2.99","UDP","1004","4004  >  36216 Len=956"
"306","0.590567","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"307","0.591720","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"308","0.591834","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"309","0.592673","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"310","0.593558","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"311","0.593642","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"312","0.594123","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"313","0.594814","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"314","0.595462","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"315","0.596161","192.168.3.99","192.168.3.20","UDP","1004","4004  >  36216 Len=956"
"316","0.596755","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"317","0.608051","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"318","0.609822","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"319","0.609883","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"320","0.610522","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"321","0.621444","192.168.2.20","192.168.2.99","UDP","628","4004  >  36216 Len=580"
"322","0.622372","192.168.3.99","192.168.3.20","UDP","628","4004  >  36216 Len=580"
"323","0.634348","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"324","0.635779","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"325","0.635873","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"326","0.636495","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"327","0.655144","192.168.2.20","192.168.2.99","UDP","816","4004  >  36216 Len=768"
"328","0.656204","192.168.3.99","192.168.3.20","UDP","816","4004  >  36216 Len=768"
"329","0.668038","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"330","0.669144","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"331","0.669242","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"332","0.669885","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"333","0.688341","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"334","0.688376","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"335","0.688389","192.168.2.20","192.168.2.99","UDP","440","4004  >  36216 Len=392"
"336","0.688401","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"337","0.688413","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"338","0.688425","192.168.2.20","192.168.2.99","UDP","628","4004  >  36216 Len=580"
"339","0.690334","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"340","0.691180","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"341","0.691270","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"342","0.691836","192.168.3.99","192.168.3.20","UDP","440","4004  >  36216 Len=392"
"343","0.692578","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"344","0.692656","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"345","0.693092","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"346","0.693733","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"347","0.694320","192.168.3.99","192.168.3.20","UDP","628","4004  >  36216 Len=580"
"348","0.695120","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"349","0.706053","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"350","0.707964","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"351","0.708037","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"352","0.708715","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"353","0.721745","192.168.2.20","192.168.2.99","UDP","440","4004  >  36216 Len=392"
"354","0.723137","192.168.3.99","192.168.3.20","UDP","440","4004  >  36216 Len=392"
"355","0.734017","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"356","0.735536","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"357","0.735612","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"358","0.736970","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"359","0.755160","192.168.2.20","192.168.2.99","UDP","816","4004  >  36216 Len=768"
"360","0.757018","192.168.3.99","192.168.3.20","UDP","816","4004  >  36216 Len=768"
"361","0.769048","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"362","0.770992","192.168.2.99","192.168.2.20","UDP","92","36216  >  4004 Len=44"
"363","0.771060","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"364","0.771673","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"365","0.788614","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"366","0.788632","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"367","0.788639","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"368","0.788645","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"369","0.788652","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"370","0.788659","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"371","0.788665","192.168.2.20","192.168.2.99","UDP","816","4004  >  36216 Len=768"
"372","0.790288","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"373","0.791022","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"374","0.791661","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"375","0.792321","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"376","0.792995","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"377","0.793074","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
